country_ch,country_en,cases,deaths
美國,United States,"91,521,639","1,054,890"
印度,India,"44,126,994","526,649"
法國,France,"34,053,040","152,537"
巴西,Brazil,"34,011,173","679,939"
德國,Germany,"31,228,314","144,858"
英國,United Kingdom,"23,368,899","185,052"
義大利,Italy,"21,286,771","173,062"
韓國,South Korea,"20,383,621","25,236"
俄羅斯,Russia,"18,692,396","382,697"
土耳其,Turkey,"15,889,495","99,341"
日本,Japan,"14,095,699","33,546"
西班牙,Spain,"13,266,184","111,094"
越南,Vietnam,"11,193,652","43,094"
澳洲,Australia,"9,615,463","12,289"
阿根廷,Argentina,"9,560,307","129,369"
荷蘭,Netherlands,"8,349,765","22,511"
伊朗,Iran,"7,434,945","142,398"
墨西哥,Mexico,"6,839,732","328,221"
哥倫比亞,Colombia,"6,278,998","141,075"
印尼,Indonesia,"6,240,699","157,082"
波蘭,Poland,"6,093,571","116,660"
葡萄牙,Portugal,"5,359,624","24,664"
烏克蘭,Ukraine,"5,026,496","108,727"
奧地利,Austria,"4,782,740","19,194"
臺灣,Taiwan,"4,716,819","9,187"
馬來西亞,Malaysia,"4,705,824","36,020"
泰國,Thailand,"4,603,359","31,564"
以色列,Israel,"4,598,476","11,433"
希臘,Greece,"4,474,616","31,377"
比利時,Belgium,"4,437,299","32,296"
智利,Chile,"4,297,144","59,773"
加拿大,Canada,"4,084,728","43,583"
南非,South Africa,"4,006,093","101,982"
捷克,Czech Republic,"3,998,850","40,555"
瑞士,Switzerland,"3,972,610","13,534"
秘魯,Peru,"3,951,495","214,546"
菲律賓,Philippines,"3,799,334","60,789"
丹麥,Denmark,"3,114,784","6,750"
羅馬尼亞,Romania,"3,112,474","66,171"
瑞典,Sweden,"2,545,671","19,433"
伊拉克,Iraq,"2,450,637","25,325"
塞爾維亞,Serbia,"2,160,253","16,347"
孟加拉,Bangladesh,"2,007,119","29,304"
匈牙利,Hungary,"1,987,321","46,886"
斯洛伐克,Slovakia,"1,822,841","20,253"
新加坡,Singapore,"1,754,777","1,536"
約旦,Jordan,"1,715,296","14,083"
喬治亞,Georgia,"1,698,020","16,869"
愛爾蘭,Ireland,"1,647,605","7,662"
紐西蘭,New Zealand,"1,639,058","2,362"
巴基斯坦,Pakistan,"1,558,657","30,505"
挪威,Norway,"1,456,922","3,623"
香港,Hong Kong,"1,380,968","9,535"
哈薩克,Kazakhstan,"1,364,844","13,668"
摩洛哥,Morocco,"1,262,501","16,256"
芬蘭,Finland,"1,218,216","5,251"
保加利亞,Bulgaria,"1,217,154","37,431"
克羅埃西亞,Croatia,"1,192,555","16,389"
黎巴嫩,Lebanon,"1,185,405","10,546"
突尼西亞,Tunisia,"1,134,660","29,105"
古巴,Cuba,"1,108,706","8,529"
斯洛維尼亞,Slovenia,"1,093,023","6,721"
立陶宛,Lithuania,"1,091,122","9,220"
玻利維亞,Bolivia,"1,060,484","22,089"
瓜地馬拉,Guatemala,"1,054,127","19,096"
哥斯大黎加,Costa Rica,"1,018,533","8,754"
阿拉伯聯合大公國,UAE,"997,769","2,337"
白俄羅斯,Belarus,"994,037","7,118"
尼泊爾,Nepal,"989,676","11,971"
厄瓜多,Ecuador,"975,234","35,811"
烏拉圭,Uruguay,"971,728","7,415"
巴拿馬,Panama,"954,369","8,425"
拉脫維亞,Latvia,"871,181","5,901"
沙烏地阿拉伯,Saudi Arabia,"810,887","9,260"
亞塞拜然,Azerbaijan,"801,470","9,760"
巴拉圭,Paraguay,"710,890","19,289"
巴勒斯坦,Palestine,"678,414","5,672"
斯里蘭卡,Sri Lanka,"666,580","16,583"
巴林,Bahrain,"662,406","1,511"
科威特,Kuwait,"654,814","2,562"
多明尼加,Dominican,"632,655","4,384"
緬甸,Myanmar,"614,190","19,434"
愛沙尼亞,Estonia,"591,058","2,628"
賽普勒斯,Cyprus,"568,383","1,143"
委內瑞拉,Venezuela,"537,800","5,767"
摩爾多瓦,Moldova,"532,187","11,608"
埃及,Egypt,"515,645","24,613"
利比亞,Libya,"505,350","6,433"
蒙古,Mongolia,"501,813","2,120"
衣索比亞,Ethiopia,"492,476","7,569"
宏都拉斯,Honduras,"444,152","10,940"
亞美尼亞,Armenia,"426,799","8,635"
卡達,Qatar,"413,489",681
阿曼,Oman,"396,722","4,260"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"387,803","15,902"
肯亞,Kenya,"337,833","5,672"
尚比亞,Zambia,"331,074","4,016"
北馬其頓,North Macedonia,"330,755","9,388"
波札那,Botswana,"325,724","2,772"
阿爾巴尼亞,Albania,"316,976","3,560"
盧森堡,Luxembourg,"279,354","1,108"
阿爾及利亞,Algeria,"268,141","6,878"
蒙特內哥羅,Montenegro,"264,464","2,754"
奈及利亞,Nigeria,"261,473","3,147"
科索沃,Kosovo,"260,686","3,175"
辛巴威,Zimbabwe,"256,444","5,581"
模里西斯,Mauritius,"248,720","1,014"
烏茲別克,Uzbekistan,"243,294","1,637"
中國大陸,China,"230,890","5,226"
莫三比克,Mozambique,"229,739","2,216"
寮國,Laos,"211,711",757
汶萊,Brunei,"211,132",234
冰島,Iceland,"202,502",179
吉爾吉斯,Kyrgyzstan,"201,329","2,991"
薩爾瓦多,El Salvador,"190,818","4,210"
阿富汗,Afghanistan,"187,109","7,752"
馬爾地夫,Maldives,"184,485",307
千里達及托巴哥,Trinidad and Tobago,"172,889","4,067"
烏干達,Uganda,"169,396","3,628"
納米比亞,Namibia,"169,253","4,065"
迦納,Ghana,"168,306","1,458"
牙買加,Jamaica,"147,006","3,206"
柬埔寨,Cambodia,"136,977","3,056"
盧安達,Rwanda,"132,287","1,466"
喀麥隆,Cameroon,"120,215","1,931"
馬爾他,Malta,"113,220",795
安哥拉,Angola,"102,636","1,917"
巴貝多,Barbados,"94,601",499
剛果民主共和國,DR Congo,"92,173","1,390"
馬拉威,Malawi,"87,617","2,670"
塞內加爾,Senegal,"87,550","1,968"
象牙海岸,Ivory Coast,"85,712",811
蘇利南,Suriname,"80,982","1,380"
史瓦帝尼,Eswatini,"73,301","1,419"
蓋亞那,Guyana,"70,126","1,271"
斐濟,Fiji,"67,805",874
貝里斯,Belize,"67,424",680
馬達加斯加,Madagascar,"66,491","1,408"
蘇丹,Sudan,"63,074","4,958"
茅利塔尼亞,Mauritania,"62,652",992
維德角,Cape Verde,"62,206",410
不丹,Bhutan,"60,530",21
敘利亞,Syria,"56,464","3,150"
加彭,Gabon,"48,511",306
蒲隆地,Burundi,"47,008",38
安道爾,Andorra,"45,793",154
塞席爾,Seychelles,"45,540",168
巴布亞紐幾內亞,Papua New Guinea,"44,800",663
多哥,Togo,"38,176",281
坦尚尼亞,Tanzania,"37,865",841
幾內亞,Guinea,"37,408",445
巴哈馬,Bahamas,"36,795",822
賴索托,Lesotho,"34,040",702
海地,Haiti,"32,464",838
馬利,Mali,"31,236",739
聖露西亞,Saint Lucia,"28,161",387
貝南,Benin,"27,316",163
剛果共和國,Congo,"24,775",386
東帝汶,East Timor,"23,036",134
索羅門群島,Solomon islands,"21,544",153
布吉納法索,Burkina Faso,"21,128",387
聖馬利諾,San Marino,"20,007",118
索馬利亞,Somalia,"18,863",930
格瑞那達,Grenada,"18,822",234
列支敦斯登,Liechtenstein,"18,805",86
塔吉克,Tajikistan,"17,786",125
南蘇丹,South Sudan,"17,780",138
赤道幾內亞,Equatorial Guinea,"16,771",183
吉布地,Djibouti,"15,690",189
薩摩亞,Samoa,"15,405",29
多米尼克,Dominica,"14,852",68
尼加拉瓜,Nicaragua,"14,807",244
中非,Central Africa,"14,781",113
摩納哥,Monaco,"14,130",57
東加,Tonga,"12,554",12
甘比亞,Gambia,"12,149",368
葉門,Yemen,"11,895","2,152"
萬那杜,Vanuatu,"11,723",14
索馬利蘭,Somaliland,"10,459",620
厄利垂亞,Eritrea,"10,109",103
尼日,Niger,"9,119",311
安地卡及巴布達,Antigua and Barbuda,"8,773",144
幾內亞比索,Guinea-Bissau,"8,440",174
葛摩,Comoros,"8,340",160
獅子山,Sierra Leone,"7,737",125
賴比瑞亞,Liberia,"7,548",294
查德,Chad,"7,437",193
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"7,101",115
密克羅尼西亞聯邦,Micronesia,"6,691",16
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,470",46
庫克群島,Cook Islands,"6,122",1
聖多美普林西比,Sao Tome and Principe,"6,115",75
帛琉,Palau,"5,239",6
諾魯,Nauru,"4,409",1
吉里巴斯,Kiribati,"3,430",13
澳門,Macao,791,6
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
馬紹爾群島,Marshall Islands,68,0
紐埃,Niue,56,0
教廷,Holy See,29,0
吐瓦魯,Tuvalu,8,0
北韓,North Korea,2,1
